time,x,y,A0,A01,A02,A04,A06,A10,A9,A11,A12,A15,A16,A17,A19,A20,A24
1.60135613174458E+018,-64.5925978204981,-205.432332877728,65,0,0,0,0,53,69,42,40,40,52,56,0,0,0
1.60135613658458E+018,-64.6805053278656,-203.50362484044,69,0,0,0,0,57,68,40,40,40,48,54,0,0,0
1.60135614170458E+018,-64.8130228993122,-201.475695441979,65,0,0,0,0,55,66,40,40,40,48,59,0,0,0
1.60135614662458E+018,-64.9443174029885,-199.506854200297,67,0,0,0,0,51,66,42,40,40,0,0,0,0,0
1.60135615162459E+018,-65.0748762192896,-197.52155388608,68,0,0,0,0,62,65,40,40,49,51,73,0,0,0
1.60135615678458E+018,-64.970122426769,-195.475802853051,68,0,0,0,0,51,66,40,40,43,53,62,0,0,0
1.60135616168458E+018,-64.7917464341712,-193.538577396219,66,0,0,0,0,48,67,40,40,43,59,60,0,0,0
1.60135616670458E+018,-64.5788620431239,-191.558671470492,64,0,0,0,0,46,0,40,40,42,57,60,0,0,0
1.60135617158458E+018,-64.3662518161517,-189.619545003133,61,0,0,0,0,57,67,40,40,44,61,68,0,0,0
1.60135617674458E+018,-64.1051700486938,-187.591552982421,59,0,0,0,0,47,69,40,40,41,62,63,0,0,0
1.60135618178458E+018,-63.7992815787353,-185.604214829031,58,0,0,0,0,46,67,40,40,43,60,64,0,0,0
1.60135618670458E+018,-63.5104084740161,-183.673181488094,59,0,0,0,0,47,66,40,40,43,0,68,0,0,0
1.60135619174458E+018,-63.1957860080696,-181.686003777282,61,0,0,0,0,41,67,40,40,42,64,0,0,0,0
1.60135619664458E+018,-62.8522782954425,-179.765916818658,59,0,0,0,0,42,69,40,40,49,64,74,0,0,0
1.60135620178458E+018,-62.1838249282156,-177.827705853617,57,0,0,0,0,40,59,40,42,48,68,64,0,0,0
1.60135620664458E+018,-61.6793094675783,-175.960748978865,55,0,0,0,0,46,53,40,41,56,67,70,0,0,0
1.60135621164458E+018,-61.1135635692801,-174.056945628061,52,0,0,0,0,40,53,40,40,55,73,73,0,0,0
1.60135621678458E+018,-60.2731206913113,-172.186487610024,52,0,0,0,0,40,52,40,44,52,70,68,0,0,0
1.60135622162457E+018,-59.7109055394163,-170.354178255095,54,0,0,0,0,41,52,40,40,57,72,71,0,0,0
1.60135622676457E+018,-58.9431164034129,-168.544208632718,57,0,0,0,0,44,56,40,49,59,72,72,0,0,0
1.60135623162458E+018,-58.2870777171163,-166.710912999047,58,0,0,0,0,40,49,40,0,0,0,0,0,0,0
1.6013562366246E+018,-57.4958856873876,-164.890878932616,54,0,0,0,0,40,55,40,59,71,72,75,0,0,0
1.60135624174458E+018,-56.8955714051509,-163.579153414945,54,0,0,0,0,40,57,40,52,71,69,72,0,0,0
1.60135624666458E+018,-56.059424322773,-161.815692987032,57,0,0,0,0,40,47,40,43,59,72,76,0,0,0
1.60135625162459E+018,-55.1666142376669,-160.03459323322,52,0,0,0,0,40,45,40,40,58,73,77,0,0,0
1.60135625666458E+018,-54.2406510919951,-158.270883967331,48,0,0,0,0,40,45,40,50,0,0,76,0,0,0
1.60135626170458E+018,-53.2700481645801,-156.507894920064,49,0,0,0,0,40,49,41,49,65,0,76,0,0,0
1.60135626670458E+018,-52.3040697629592,-154.768289690645,51,0,0,0,0,40,43,42,46,64,76,75,0,0,0
1.60135627158459E+018,-51.3742662747854,-153.055725769981,62,0,0,0,0,40,40,44,59,64,75,0,0,0,0
1.60135627664458E+018,-50.1974296298099,-151.425948905615,50,0,0,0,0,40,40,48,52,58,71,76,0,0,0
1.60135628178461E+018,-48.9430424703608,-149.811012399836,46,0,0,0,0,40,40,43,49,59,74,79,0,0,0
1.60135628670458E+018,-47.7613724939073,-148.259037737869,44,0,0,0,0,40,42,40,50,61,78,0,0,0,0
1.60135629166467E+018,-46.5713845514168,-146.688243718771,40,0,0,0,0,40,40,46,53,63,81,0,0,0,0
1.60135629658458E+018,-45.3530428942417,-145.137878389821,43,0,0,0,0,40,40,50,51,62,81,0,0,0,0
1.60135630166458E+018,-44.0420490507272,-143.625126723828,56,0,0,0,0,40,41,43,47,62,82,0,0,0,0
1.60135630668458E+018,-42.6842096526397,-142.142852728062,40,0,0,0,0,40,40,44,50,70,78,0,0,0,0
1.60135631170458E+018,-41.3022697174891,-140.715224117054,40,0,0,0,0,40,40,47,56,0,79,80,0,0,0
1.60135631662458E+018,-39.9107425020322,-139.329813068933,40,0,0,0,0,40,40,53,70,72,77,0,0,0,0
1.60135632178458E+018,-38.4286573475707,-137.911885733898,40,0,0,0,0,48,40,57,78,72,79,0,0,0,0
1.60135632662458E+018,-36.9820800428106,-136.631176620303,40,0,0,0,0,47,40,50,55,66,77,0,0,0,0
1.60135633162458E+018,-35.422080328354,-135.390286700359,40,0,0,0,0,40,40,54,56,68,0,0,0,0,0
1.60135633674461E+018,-33.9085302814366,-134.03791473989,40,0,0,0,0,40,40,54,56,71,0,0,0,0,0
1.60135634162456E+018,-32.358421493865,-132.853174736247,40,0,0,0,0,41,40,50,52,65,79,0,0,0,0
1.60135634674458E+018,-30.7632644474591,-131.593592098554,40,0,0,0,0,42,54,54,58,74,0,0,0,0,0
1.60135635158458E+018,-29.2067569252882,-130.443806701017,40,0,0,0,0,46,46,54,59,75,82,0,0,0,0
1.60135635662458E+018,-27.5587356535815,-129.287330218638,40,0,0,0,0,0,47,57,64,0,0,0,0,0,0
1.60135636170458E+018,-25.8688620640187,-128.195085966894,40,0,0,0,0,0,55,0,0,0,0,0,0,0,0
1.60135636670459E+018,-24.1619271461264,-127.177271017832,40,0,0,0,0,50,55,65,66,0,0,0,0,0,0
1.60135637178458E+018,-22.8606058816291,-125.956144253687,40,0,0,0,73,50,46,0,65,0,0,0,0,0,0
1.60135637670458E+018,-23.1242145941028,-125.32842903396,40,0,0,0,52,60,60,0,0,0,0,0,0,0,0
1.60135638178456E+018,-23.1549559209864,-125.286174610257,40,0,0,0,53,0,0,71,77,0,0,0,0,0,0
1.60135638666458E+018,-23.7580789035199,-124.119052694065,40,0,0,0,54,0,0,66,72,0,0,0,0,0,0
1.60135639166458E+018,-24.7112566639169,-122.35936982453,40,0,0,0,53,69,0,72,75,0,0,0,0,0,0
1.60135639674458E+018,-25.7290320322301,-120.633593654123,40,0,0,0,54,0,74,77,82,0,0,0,0,0,0
1.6013564015846E+018,-26.5815830534482,-118.906029927636,40,0,0,0,53,0,74,0,0,0,0,0,0,0,0
1.60135640670458E+018,-27.1393884077162,-117.599984911458,40,0,0,0,53,0,0,0,0,0,0,0,0,0,0
1.60135641166458E+018,-27.1183701359956,-117.648608187644,40,0,0,0,59,0,0,0,0,0,0,0,0,0,0
1.60135641660458E+018,-27.1143635922276,-117.657404657825,41,0,0,0,60,0,0,0,0,0,0,0,0,0,0
1.60135642172457E+018,-26.824629525152,-117.794760562564,40,0,0,0,71,0,0,0,0,0,0,0,0,0,0
