time,x,y,26453,27170,27183,27157,27180,27141,27160
1599810418304312467,-13.86176886,6.445709187,0,0,0,0,0,0,-94
1599810418453157424,-13.86055676,6.448453385,0,0,0,-80,0,0,0
1599810418696444272,-13.84315155,6.493624756,0,0,0,0,0,0,-96
1599810418757924079,-13.84315155,6.493624756,0,0,0,0,0,-96,0
1599810418856642246,-13.83664474,6.511475702,0,0,0,-80,0,0,0
1599810419105757236,-13.82156792,6.55546152,0,0,0,0,0,0,-96
1599810419168372154,-13.82156792,6.55546152,0,0,0,0,0,-97,0
1599810419269766569,-13.81607579,6.573127119,0,0,0,-82,0,0,0
1599810419520630121,-13.80223478,6.623765392,0,0,0,0,0,0,-93
1599810419576889753,-13.80223478,6.623765392,0,0,0,0,0,-103,0
1599810419671674966,-13.79795944,6.641764169,0,0,0,-82,0,0,0
1599810419917634010,-13.790918,6.678588477,0,0,0,0,0,0,-96
1599810419980656623,-13.790918,6.678588477,0,0,0,0,0,-98,0
1599810420080964326,-13.78885903,6.693950419,0,0,0,-82,0,0,0
1599810420327241420,-13.78509458,6.749804548,0,0,0,0,0,0,-95
1599810420391694307,-13.78509458,6.749804548,0,0,0,0,0,-99,0
1599810420492643356,-13.78484813,6.778802133,0,0,0,-82,0,0,0
1599810420726189851,-13.78852518,6.856691981,0,0,0,0,0,0,-95
1599810420891083002,-13.94278717,4.844279417,0,0,0,-81,0,0,0
1599810421144757747,-13.73687753,6.82316348,0,0,0,0,0,0,-94
1599810421304788827,-13.7468682,6.874702113,0,0,0,-81,0,0,0
1599810421607619047,-13.76578279,6.957053405,0,0,0,0,0,-98,0
1599810421701488494,-13.77135805,6.979367322,0,0,0,-82,0,0,0
1599810421950718879,-13.78536216,7.032036732,0,0,0,0,0,0,-93
1599810422013636350,-13.7927599,7.058002919,0,0,0,0,0,-97,0
1599810422114407777,-13.80090856,7.084790757,0,0,0,-80,0,0,0
1599810422417809486,-13.82299774,7.149622522,0,0,0,0,0,-98,0
1599810422517256975,-13.83135566,7.171049276,0,0,0,-82,0,0,0
1599810423146682739,-13.89484415,7.301898845,0,0,0,0,0,0,-92
1599810423306052923,-13.92146372,7.352300978,0,0,0,-82,0,0,0
1599810423557571172,-13.95078039,7.407498272,0,0,0,0,0,0,-94
1599810423620426654,-13.96429972,7.433154105,0,0,0,0,0,-96,0
1599810423719937324,-13.98076068,7.46404159,0,0,0,-80,0,0,0
1599810423968557357,-14.00841662,7.516157935,0,0,0,0,0,0,-93
1599810424024814367,-13.95903564,7.502322185,0,0,0,0,0,-98,0
1599810424130867004,-13.96738532,7.525011034,0,0,0,-79,0,0,0
1599810424377295732,-13.99637902,7.574084946,0,0,0,0,0,0,-94
1599810424442327022,-14.01278926,7.600972266,0,0,0,0,0,-97,0
1599810424545508623,-14.02631711,7.622588142,0,0,0,-80,0,0,0
1599810424794174194,-14.93214899,5.2352409,0,0,0,0,0,0,-91
1599810424858411073,-14.08078036,7.704042875,0,0,0,0,0,-96,0
1599810424959240913,-14.09856961,7.728817549,0,0,0,-80,0,0,0
1599810425214211702,-14.15198748,7.799372074,0,0,0,0,0,0,-93
1599810425278846502,-14.15198748,7.799372074,0,0,0,0,0,-98,0
1599810425381556272,-14.17065893,7.82285329,0,0,0,-82,0,0,0
1599810425628919124,-14.22891957,7.894699079,0,0,0,0,0,0,-93
1599810425691982507,-15.19765476,5.271248212,0,0,0,0,0,-96,0
1599810425789304971,-14.268187,7.942678931,0,0,0,-81,0,0,0
1599810426036842823,-14.30970401,7.993340349,0,0,0,0,0,0,-94
1599810426093736648,-14.32710962,8.014631036,0,0,0,0,0,-97,0
1599810426194861412,-14.32710962,8.014631036,0,0,0,-81,0,0,0
1599810426595242261,-14.42376426,8.133234019,0,0,0,-81,0,0,0
1599810426841414928,-14.46078054,8.178533316,0,0,0,0,0,0,-96
1599810426896772146,-14.48302166,8.205557989,0,0,0,0,0,-97,0
1599810426998562574,-14.50195521,8.228828383,0,0,0,-82,0,0,0
1599810427247020006,-14.54322783,8.266158162,0,0,0,0,0,0,-89
1599810427303843736,-14.56340146,8.290350534,0,0,0,0,0,-98,0
1599810427399615526,-14.5816538,8.312238871,0,0,0,-83,0,0,0
1599810427649421930,-14.62460171,8.363662807,0,0,0,0,0,0,-91
1599810427705573797,-14.64501504,8.388306028,0,0,0,0,0,-94,0
1599810427807859897,-14.66415254,8.411409048,0,0,0,-83,0,0,0
1599810428117067337,-14.731004,8.491727352,0,0,0,0,0,-97,0
1599810428459560871,-14.79274863,8.565887951,0,0,0,0,0,0,-95
1599810428515816450,-14.81471954,8.592487293,0,0,0,0,0,-95,0
1599810428615700244,-14.83321918,8.61482028,0,0,0,-82,0,0,0
1599810428860839366,-14.87660756,8.667178745,0,0,0,0,0,0,-93
1599810428923050165,-14.89841886,8.693260616,0,0,0,0,0,-95,0
1599810429021042585,-14.91854729,8.717490687,0,0,0,-84,0,0,0
1599810429269327163,-14.96151661,8.769547221,0,0,0,0,0,0,-93
1599810429332622766,-14.9807188,8.792596506,0,0,0,0,0,-94,0
1599810429433341264,-15.00484255,8.821307039,0,0,0,-83,0,0,0
1599810429683385848,-15.04349097,8.867852928,0,0,0,0,0,0,-93
1599810429841677427,-15.08207216,8.914454601,0,0,0,-85,0,0,0
1599810430083716392,-15.12407937,8.964710323,0,0,0,0,0,0,-92
1599810430146230459,-15.14073997,8.984670873,0,0,0,0,0,-96,0
1599810430239331722,-15.11057729,8.951687774,0,0,0,-84,0,0,0
1599810430492559194,-15.10536103,8.947823036,0,0,0,0,0,0,-95
1599810430550012588,-15.117404,8.962518564,0,0,0,0,0,-92,0
1599810430644701719,-15.12706262,8.973995032,0,0,0,-86,0,0,0
1599810430894392013,-15.15984489,9.011081037,0,0,0,0,0,0,-94
1599810430956481933,-15.15984489,9.011081037,0,0,0,0,0,-100,0
1599810431043889522,-15.17202866,9.024330695,0,0,0,-83,0,0,0
1599810431290952444,-15.20359696,9.057787664,0,0,0,0,0,0,-90
1599810431447827100,-15.21609901,9.070737486,0,0,0,-83,0,0,0
1599810431689958095,-15.23713243,9.092128741,0,0,0,0,0,0,-95
1599810431741980075,-15.24700574,9.102054348,0,0,0,0,0,-98,0
1599810431840911865,-15.25621675,9.11122803,0,0,0,-84,0,0,0
1599810432084818840,-15.26764268,9.12242831,0,0,0,0,0,0,-95
1599810432142241954,-15.27411378,9.128683294,0,0,0,0,0,-96,0
1599810432241719722,-15.27879789,9.133189855,0,0,0,-86,0,0,0
1599810432492587327,-15.28857872,9.142494919,0,0,0,0,0,0,-97
1599810432628514766,-15.29952168,9.152754057,0,0,0,-85,0,0,0
1599810432878705263,-15.31163808,9.163954174,0,0,0,0,0,0,-99
1599810433019191980,-15.32492012,9.176102687,0,0,0,-82,0,0,0
1599810433273436069,-15.35569819,9.21406601,0,0,0,0,0,0,-98
1599810433423906326,-15.37557088,9.231596384,0,0,0,-84,0,0,0
1599810433673456668,-15.39562893,9.248914621,0,0,0,0,0,0,-100
1599810433728968381,-15.40631137,9.25796361,0,0,0,0,0,-96,0
1599810433827512264,-15.41474446,9.265026388,0,0,0,-85,0,0,0
1599810434076311826,-15.43598318,9.282494959,0,0,0,0,0,0,-94
1599810434132449626,-15.44531825,9.290035281,0,0,0,0,0,-95,0
1599810434226991415,-15.45586363,9.298464038,0,0,0,-86,0,0,0
1599810434477914333,-15.47550387,9.313931924,0,0,0,0,0,0,-94
1599810434535683155,-15.48658927,9.322482531,0,0,0,0,0,-97,0
