time,x,y,rss,distance,tag_id
1601356743571195125,0.39217790150537657,-230.86118908513095,-86,4855,26453
1601356743727472782,0.3922860648544263,-230.86266853489423,-86,4869,26453
1601356743883083820,0.39442330724855984,-230.8920195346983,-85,4911,26453
1601356743924145221,0.39534543454128834,-230.90466662601773,-104,28789,27204
1601356744202806949,0.4003718580046389,-230.97329334325553,-85,4850,26453
1601356744244959831,0.4027082525447493,-231.00507672546595,-101,28817,27204
1601356744364521265,0.41090491527386297,-231.11593328907404,-85,4949,26453
1601356744406747579,0.4138437242580808,-231.15558919233337,-101,28681,27204
1601356744547713041,0.42344636614089254,-231.28611044463952,-87,5201,26453
1601356744703300952,0.4343027548050657,-231.43419642723558,-85,5520,26453
1601356744745345592,0.4380547474016024,-231.48535590251646,-101,28325,27204
1601356744868602037,0.44551053338218377,-231.5869586868028,-86,5389,26453
1601356745029022216,0.4581274896167385,-231.75890558545942,-87,5539,26453
1601356745183468580,0.4716706088931685,-231.94450685335872,-90,5707,26453
1601356745340955734,0.48948631702399326,-232.19144897681412,-91,5965,26453
1601356745504590272,0.502031825422571,-232.36939790790828,-88,6073,26453
1601356745545903205,0.5057779325101783,-232.42175722563886,-108,27645,27204
1601356745666701316,0.513519116275292,-232.52780121202275,-85,6565,26453
1601356745822333335,0.5246273919604819,-232.67937125512935,-89,6598,26453
1601356746010892868,0.53689482916904,-232.84472243617614,-103,26688,27204
1601356746133021354,0.5432778192751645,-232.9304264772174,-94,6846,26453
1601356746289706945,0.5511136750210085,-233.03838257831976,-93,6570,26453
1601356746451385259,0.5589176904251574,-233.15785222950754,-94,6757,26453
1601356746607543945,0.5635722681482427,-233.23805994192085,-93,6621,26453
1601356746649399995,0.5656709391559991,-233.27762538739498,-103,26730,27204
1601356746773130655,0.570336512853598,-233.39581868662128,-92,7160,26453
1601356746931896686,0.5712765671444004,-233.5548172556619,-91,7170,26453
1601356747093721151,0.5679268894703978,-233.67439527689518,-91,6893,26453
1601356747253250598,0.5611659577867495,-233.79339738880276,-92,7207,26453
1601356747410756349,0.5504513366227339,-233.91921852705232,-93,7470,26453
1601356747453047752,0.5462298459821874,-233.96087521100586,-102,25858,27204
1601356747573811054,0.5359478958570035,-234.05299096850206,-91,7681,26453
1601356747733156442,0.508939167358217,-234.25648273401967,-89,8060,26453
1601356747891765594,0.4815616148920919,-234.43246755748876,-90,7807,26453
1601356748049518823,0.4531117367961601,-234.60741152624695,-92,8069,26453
1601356748358089685,0.3988392972226657,-234.94037082518167,-95,8187,26453
1601356748399629592,0.3902688560546247,-234.99279005479977,-103,24952,27204
1601356748523460865,0.36426954218973207,-235.15121278491503,-97,8412,26453
